Community,Community Address,Community,Build Year,Buiding_Type,Maintenance_Cost,Company,Developer,Total_Building,Total_House
谈中路230弄,(闵行浦江)谈中路230弄,5.01E+12,1999年建成,板楼,0.5元/平米/月,杜行物业,上海梅林房地产开发有限公司,6栋,60户
大华伊斐墅,(浦东北蔡)华鹏路390弄,5.01E+12,2015年建成,板楼,3.1元/平米/月,上海浦华物业管理有限公司,上海锦绣华城房地产开发有限公司,140栋,161户
浦东颐景园,(浦东惠南)拱泰路29弄,5.01E+12,2017年建成,板楼,2.8元/平米/月,上海颐景园物业管理有限公司,上海三花颐景置业有限公司,18栋,1248户
桃花源一村,(浦东惠南)拱极路3335弄,5.01E+12,1997年建成,板楼,0.5元/平米/月,上海南汇惠房物业管理有限公司,上海瀛浦置业有限公司,73栋,862户
恒大帝景,"(松江松江新城)茸树路600弄, 茸树路599弄",5.01E+12,2014年建成,板楼,3元/平米/月,上海金碧物业管理有限公司,上海松裕置业有限公司,38栋,1042户
瑞丽路22弄,(闵行老闵行)瑞丽路22弄,5.01E+12,1985年建成,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,11栋,182户
莘沥路188弄,(闵行莘庄)莘沥路188弄,5.01E+12,1989年建成,板楼,0.5元/平米/月,致中物业,上海军区,11栋,128户
繁荣华庭,(浦东周浦)繁荣路266弄,5.01E+12,2014年建成,板楼,1.69至3元/平米/月,上海星乐物业管理有限公司,上海贝能房地产开发有限公司,29栋,1218户
上川路1468弄,(浦东曹路)上川路1468弄,5.01E+12,1995年建成,板楼,0.7元/平米/月,云琦物业,上海曹路房地产开发经营公司,12栋,204户
陆家嘴锦绣里,(浦东北蔡)博华路498弄,5.01E+12,2015年建成,板楼,2.58元/平米/月,上海双乐物业管理有限公司,上海陆家嘴(集团)有限公司,13栋,824户
云川公寓,(浦东川沙)民贤路28弄,5.01E+12,2000年建成,板楼,1元/平米/月,振群物业,上海云川房地产开发有限公司,18栋,211户
佘山一品,(松江佘山)桃源路518弄,5.01E+12,2001年建成,板楼,3.4元/平米/月,第一太平戴维斯物业管理有限公司,上海新佘山置业有限公司,320栋,328户
四达路210弄,(虹口鲁迅公园)四达路210弄,5.01E+12,1983年建成,板楼,0.9元/平米/月,宏阳物业,暂无信息,7栋,126户
青龙公寓,(青浦盈浦)漕俞路335弄,5.01E+12,1990年建成,板楼,0.6元/平米/月,暂无信息,暂无信息,12栋,144户
安墁西郊,(青浦徐泾)徐南路678弄,5.01E+12,2001年建成,板楼,3元/平米/月,狮城怡安,上海郡都房地产有限公司,112栋,158户
双阳路594弄,(杨浦黄兴公园)双阳路594弄,5.01E+12,1984年建成,板楼,0.5元/平米/月,上海阳夏物业管理有限公司,卫百辛集团,8栋,200户
晶采坊,"(闵行梅陇)兴南路朱梅路, 业祥路111弄",5.01E+12,2013年建成,板楼,1.2元/平米/月,暂无信息,暂无信息,14栋,914户
德华三村,(嘉定南翔)德园路425弄,5.01E+12,1991年建成,板楼,0.8元/平米/月,上海翔房物业管理有限公司,上海盛平房地产开发经营有限公司,34栋,512户
乐源城,(浦东惠南)人民东路2635弄57支弄,5.01E+12,2006年建成,板楼,0.5至1.5元/平米/月,自主物业,东土集团有限公司,26栋,240户
芙蓉二街坊,(嘉定安亭)泽普路399弄,5.01E+12,2004年建成,板楼,0.8元/平米/月,佳通物业,上海行通房地产发展有限公司,10栋,126户
沁春路1122弄,(闵行莘庄)沁春路1122弄,5.01E+12,2004年建成,板楼,1.1元/平米/月,盛帆置业,上海盛帆房地产开发有限公司,8栋,94户
谈中路223弄,(闵行浦江)谈中路223弄,5.01E+12,1993年建成,板楼,0.5元/平米/月,谈家港物业,上海梅林房地产开发有限公司,6栋,70户
同泰北路401弄,(宝山淞宝)同泰北路401弄,5.01E+12,1990年建成,板楼,0.7元/平米/月,海滨物业,宝辰集团控股有限公司,6栋,144户
育新新村,(浦东惠南)育新新村,5.01E+12,1981年建成,板楼,0.2元/平米/月,上海南汇惠房物业管理有限公司,上海县房地产,7栋,119户
鹤庆路58弄,(闵行老闵行)鹤庆路58弄,5.01E+12,1997年建成,板楼,0.6元/平米/月,上海鑫闵物业管理公司,嘉兴世茂新世纪置业有限公司,10栋,79户
玉宇小区,(浦东川沙)新川路856弄,5.01E+12,1999年建成,板楼,0.6元/平米/月,正群物业,上海玉宇房地产开发有限公司,17栋,194户
沪闵路315弄,(闵行老闵行)沪闵路315弄,5.01E+12,1995年建成,板楼,1.2元/平米/月,暂无信息,暂无信息,2栋,24户
锦川公寓,(闵行吴泾)剑川路139弄,5.01E+12,2000年建成,板楼,0.8元/平米/月,上海吴泾物业管理有限公司,上海锦川房地产开发有限公司,9栋,118户
普康苑,(奉贤南桥)环城东路2066弄,5.01E+12,2002年建成,塔楼/板楼,0.62至1.12元/平米/月,育秀物业,上海市奉贤区住宅建设总公司,65栋,752户
卫零路548弄,(金山石化)卫零路548弄,5.01E+12,1999年建成,板楼,0.3元/平米/月,暂无信息,暂无信息,12栋,138户
文化新村(惠南),(浦东惠南)文化新村,5.01E+12,1982年建成,塔楼/板楼,0.6元/平米/月,上海图锦物业有限公司,暂无信息,21栋,212户
广中路462号,(虹口凉城)广中路462号,5.01E+12,1984年建成,板楼,0.44元/平米/月,上海百特物业管理有限公司,虹房置业,1栋,42户
鸿海大楼,(金山石化)鸿海大楼,5.01E+12,1994年建成,塔楼,暂无信息,暂无信息,暂无信息,1栋,102户
三湘商业广场,(松江泗泾)泗宝路86号,5.01E+12,暂无信息,塔楼/板楼,2元/平米/月,暂无信息,暂无信息,1栋,247户
玉兰路99弄,(浦东花木)玉兰路99弄,5.01E+12,1990年建成,板楼,0.35元/平米/月,建工物业,上海建工集团,4栋,90户
新北街227弄,(松江新桥)新北街227弄,5.01E+12,1995年建成,板楼,暂无信息,上海欣纪物业管理有限公司,上海乐伟房地产开发有限公司,32栋,1256户
长阳路1900弄,(杨浦周家嘴路)长阳路1900弄,5.01E+12,1988年建成,板楼,0.795至1元/平米/月,合星物业,暂无信息,12栋,329户
武川路245弄,(杨浦五角场)武川路245弄,5.01E+12,1987年建成,板楼,暂无信息,暂无信息,暂无信息,8栋,192户
沪南公路2421弄,(浦东御桥)沪南公路2421弄,5.01E+12,1994年建成,板楼,暂无信息,暂无信息,上海长征置业发展有限公司,8栋,81户
临潮大楼,(金山山阳)临潮大楼,5.01E+12,1992年建成,塔楼,0.8元/平米/月,暂无信息,暂无信息,1栋,198户
